timestamp	branch	commit	hypothesis	status	metric	value	notes
2026-09-01T21:51:00-07:00	autoresearch/2026-09-01-m4-opportunity-loss/baseline	478f354bc	M5A opportunity-ledger candidate is a clean implementation baseline	baseline	focused_tests	69/69	No EOS or GPU acquisition; local Ray fixture only
2026-09-01T21:54:00-07:00	autoresearch/2026-09-01-m4-opportunity-loss/common-instrumentation-bounds	WORKTREE	Observed-Q bounds can replace zero-terminal-missingness without imputing Q	keep	analyzer_tests	9/9	Common instrumentation; terminal D only may be missing; EOS not invoked
2026-09-01T23:12:00-07:00	autoresearch/2026-09-01-m4-opportunity-loss/raw-ledger-inference	c0d12e61f	Raw lifecycle and opportunity ledgers can identify and infer bounded randomized opportunity loss	keep	focused_regression	68/68	Exact binary32 GRPO replay; HAC plus circular block bootstrap; EOS not invoked
2026-09-01T23:27:00-07:00	autoresearch/2026-09-01-m4-opportunity-loss/common-observer-duty	5940059c8	Common-arm opportunity instrumentation duty can be measured without an audit-off contrast	keep	expanded_regression	129/129	Paired-clock correction and strict independent verifier; EOS not invoked
2026-09-01T23:55:00-07:00	autoresearch/2026-09-01-m4-opportunity-loss/detached-result-pipeline	766351123	Detached raw evidence can produce one protocol-bound result without merging causal and portability conclusions	keep	selected_regression	101/101	Single-read byte binding; canonical lifecycle/opportunity/duty verification; EOS not invoked
2026-09-02T00:10:00-07:00	autoresearch/2026-09-01-m4-opportunity-loss/final-acquisition-preflight	4e6f6a993	Exact acquisition geometry can be frozen in a deterministic no-training lock	keep	selected_regression	141/141	Exact image/config/protocol binding; training and EOS submission false
2026-09-02T00:23:00-07:00	autoresearch/2026-09-01-m4-opportunity-loss/mechanism-replication-analyzer	9cc2e9c6e	Accepted M4 direct-chain and version-advance ordering can be tested as a separate support condition	keep	selected_regression	145/145	Explicit replicated/not-replicated/insufficient result; EOS not invoked
2026-09-02T14:45:00-07:00	autoresearch/2026-09-01-m4-opportunity-loss/mechanism-replication-analyzer	9cc2e9c6e	M4 release delay materially increases pre-release opportunity loss	inconclusive	confirmatory_eos_acquisition	Delta_L=0.20981; envelope=[0.11596,0.30154]; p=0.42188	224/224 steps; 3298 primary assignments; mechanism REPLICATED; observer duty and portability SUPPORTED; pipeline 65911886 red only in post-result summary packaging
2026-09-02T16:45:00-07:00	autoresearch/2026-09-02-m4-opportunity-loss-followup/prospective-efficiency-audit	WORKTREE	Pre-delay Q adjustment can make a new independent opportunity-loss study more efficient	keep	exploratory_variance_audit	registered SE=0.04680; adjusted SE=0.02365-0.02397	Exact frozen-result reconstruction; 4/8/16-fold stability; adjusted estimate is exploratory and cannot reclassify the completed study; no GPU launch
2026-09-03T02:35:00-07:00	autoresearch/2026-09-02-m4-opportunity-loss-followup/prospective-efficiency-audit	47dc1a713	M4 release delay materially increases pre-release opportunity loss	material	prospective_confirmatory_eos_acquisition	adjusted Delta_L=0.30542; envelope=[0.27593,0.33491]; p=0.0000499975	448/448 steps; 7199 primary assignments; mechanism REPLICATED; portability SUPPORTED; parent 65985843; downstream 65986159; artifact sha256=07cddc489ea20055161f9c435d44d0a52b91113fda9eac16472bdb531dc6ffb6
2026-09-03T14:15:49-07:00	autoresearch/2026-09-03-m4-opportunity-loss-transport/qwen3-1p7b-compatibility-audit	21292309a	The accepted M4 instrument can preserve its scientific semantics for a Qwen3-1.7B neutral resource qualification	keep	containerized_no_training_preflight	120/120 tests; config resolved; lock sha256=b45bf7a041e1b9c7a3bf08032c4c4959b34c8dab9062965a77603c3a1e0a4fb1	Parent 66114094 and downstream 66114826 succeeded; training, qualification, and acquisition false; artifact sha256=e3cccb5ad47efcc028ca52334d155b2919c254a877c019c45721cc7653ea8c3f
2026-09-03T15:36:01-07:00	autoresearch/2026-09-03-m4-opportunity-loss-transport/qwen3-1p7b-compatibility-audit	21292309a	Qwen3-1.7B can run the accepted M4 instrument on the smallest two-GPU non-colocated topology within a proportionate prospective budget	keep	neutral_resource_qualification	32/32 steps; 544 assignments; 30.7684 whole-run sec/step; corrected observer duty=0.00171288	Resource fit and observer duty SUPPORTED; no causal estimate; parent 66124355; downstream 66124571; artifact sha256=5cf1acb1729abb104497fa78740b9cc329e4532dedb7e8ecb6237b099004ee51
